Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,STparts_цена,STparts_Δ,Autotrade_цена,Autotrade_Δ,Froza_цена,Froza_Δ,PhoenixOil_цена,PhoenixOil_Δ,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин,Отклонение_цены
08269P99Z3FC1,"Трансмиссионное масло Honda CVTF TYPE-2 / HCF-2, для вариаторов, (Индонезия), (3,5л)",Honda,Москва,В наличии,32,6422.0,7322.0,6422.0,6852.0,430.0,—,—,5095.0,-1327.0,—,—,—,—,дороже мин. на 1327 руб. (20.7%),Autotrade 5 095,-1327.0,-20.7,—
08880-83714,"Моторное масло Toyota SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Toyota,Москва,В наличии,619,2613.0,2979.0,2613.0,2393.0,-220.0,2486.42,-126.57999999999993,—,—,2909.98,296.98,—,—,дороже мин. на 220 руб. (8.4%),ATS 2 393,-220.0,-8.4,—
08886-02805,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Япония), (4л.)",Toyota,Москва,В наличии,811,4910.0,5598.0,4910.0,4679.0,-231.0,4883.96,-26.039999999999964,5795.0,885.0,5640.57,730.5699999999997,—,—,дороже мин. на 231 руб. (4.7%),ATS 4 679,-231.0,-4.7,—
08886-81875,"Трансмиссионное масло Toyota CVTF Fluid FE, для вариаторов, (Таиланд), (4л)",Toyota,Москва,В наличии,309,4591.0,5234.0,4591.0,4587.0,-4.0,4620.0,29.0,6090.0,1499.0,5153.66,562.6599999999999,—,—,дороже мин. на 4 руб. (0.1%),ATS 4 587,-4.0,-0.1,—
08886-81885,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Таиланд), (4л)",Toyota,Москва,В наличии,5,4557.0,5195.0,4557.0,3966.0,-591.0,3695.0,-862.0,5325.0,768.0,4728.04,171.03999999999996,—,—,дороже мин. на 862 руб. (18.9%),STparts 3 695,-862.0,-18.9,—
550061548,"Моторное масло Shell Helix Ultra X SP 0W-30 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,18,3324.0,3354.0,3324.0,2973.0,-351.0,—,—,—,—,—,—,—,—,дороже мин. на 351 руб. (10.6%),ATS 2 973,-351.0,-10.6,—
83215A1C740,"Моторное масло BMW Twin Power Turbo SN 0W-30 Longlife-12 FE (C2), (Германия/Испания), (1л.)",BMW,Москва,В наличии,1,1940.0,2148.0,1940.0,—,—,1925.0,-15.0,—,—,—,—,—,—,дороже мин. на 15 руб. (0.8%),STparts 1 925,-15.0,-0.8,—
83215B5BFA4,"Моторное масло BMW Twin Power Turbo SN 5W-30 Longlife-04 (C3), (Германия), (1л)",BMW,Москва,В наличии,6647,1348.0,1537.0,1348.0,—,—,1297.65,-50.34999999999991,—,—,1525.51,177.51,—,—,дороже мин. на 50 руб. (3.7%),STparts 1 297.65,-50.35,-3.7,—
A000989320911ABDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, бензин/дизель, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,130,1650.0,1881.0,1650.0,1065.0,-585.0,1163.8,-486.20000000000005,—,—,—,—,—,—,дороже мин. на 585 руб. (35.5%),ATS 1 065,-585.0,-35.5,—
A000989440411FULW,"Трансмиссионное масло Mercedes-Benz ATF MB 236.15, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,204,1702.0,1941.0,1702.0,1436.0,-266.0,1495.41,-206.58999999999992,2035.0,333.0,—,—,—,—,дороже мин. на 266 руб. (15.6%),ATS 1 436,-266.0,-15.6,—
