Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,ATS_нал,STparts_цена,STparts_Δ,STparts_нал,Autotrade_цена,Autotrade_Δ,Autotrade_нал,Froza_цена,Froza_Δ,Froza_нал,PhoenixOil_цена,PhoenixOil_Δ,PhoenixOil_нал,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин,Отклонение_цены
MZ321232,"Моторное масло Mitsubishi SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Mitsubishi,Москва,В наличии,2317,3187.0,3634.0,3187.0,3177.0,-10.0,546 шт,3272.5,85.5,есть,4200.0,1013.0,73 шт,3861.0,674.0,есть,—,—,—,дороже мин. на 10 руб. (0.3%),ATS 3 177,-10.0,-0.3,Froza
XT10QLVC,"Трансмиссионное масло Ford Motorcraft ATF Mercon LV, для АКПП / ГУР (красный), (США), (0,946л)",Ford,Москва,В наличии,209,772.0,855.0,772.0,769.0,-3.0,8420 шт,799.92,27.91999999999996,есть,—,—,—,945.84,173.84000000000003,есть,—,—,—,дороже мин. на 3 руб. (0.4%),ATS 769,-3.0,-0.4,Froza
XT5QMC,"Трансмиссионное масло Ford Motorcraft ATF Mercon V, для АКПП / ГУР (красный), (США), (0,946л)",Ford,Москва,В наличии,802,768.0,876.0,768.0,708.0,-60.0,2870 шт,737.0,-31.0,есть,—,—,—,875.02,107.01999999999998,есть,—,—,—,дороже мин. на 60 руб. (7.8%),ATS 708,-60.0,-7.8,Froza
08234P99F4PY1,"Моторное масло Honda SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Honda,Москва,В наличии,129,3421.0,3900.0,3421.0,3630.0,209.0,12 шт,3744.17,323.1700000000001,есть,4010.0,589.0,под заказ,—,—,—,—,—,—,дешевле мин. на 209 руб. (6.1%),ATS 3 630,209.0,6.1,—
08880-83714,"Моторное масло Toyota SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Toyota,Москва,В наличии,1304,2502.0,2853.0,2502.0,2549.0,47.0,74 шт,2647.7,145.69999999999982,есть,—,—,—,3237.85,735.8499999999999,есть,—,—,—,дешевле мин. на 47 руб. (1.9%),ATS 2 549,47.0,1.9,Froza
KE90799932,"Трансмиссионное масло Nissan Differential Fluid 80W-90 / GL-5, для МКПП, (Европа), (1л)",Nissan,Москва,В наличии,243,1748.0,1993.0,1748.0,1782.0,34.0,—,1852.4,104.40000000000009,есть,—,—,—,2341.7,593.6999999999998,есть,—,—,—,дешевле мин. на 34 руб. (1.9%),ATS 1 782,34.0,1.9,Froza
LIM10038-1EN,"Моторное масло Mazda ""GOLDEN"" SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (1л)",Mazda,Москва,В наличии,142,797.0,909.0,797.0,886.0,89.0,122 шт,918.56,121.55999999999995,есть,—,—,—,—,—,—,—,—,—,дешевле мин. на 89 руб. (11.2%),ATS 886,89.0,11.2,—
1011136,"Моторное масло HYUNDAI XTeer G700 SP 5W-40 / ILSAC GF-6, синтетическое, бензин, (Корея), (1л)",Hyundai,Москва,В наличии,19,581.0,643.0,581.0,—,—,—,—,—,—,—,—,—,799.72,218.72000000000003,есть,—,—,—,Нет совпадений у конкурентов,—,—,—,Froza
1011223,"Моторное масло HYUNDAI XTeer D800 C3 CF 5W-40, ACEA A3/B3/B4/C3, синтетическое, (Корея), (1л)",Hyundai,Москва,В наличии,3,817.0,904.0,817.0,—,—,—,—,—,—,—,—,—,1084.55,267.54999999999995,есть,—,—,—,Нет совпадений у конкурентов,—,—,—,Froza
4024610,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Япония), (4л)",Mitsubishi,Москва,В наличии,101,3523.0,4017.0,3523.0,3523.0,0.0,4 шт,3652.0,129.0,есть,4295.0,772.0,187 шт,3906.09,383.09000000000015,есть,—,—,—,на уровне мин. конкурента,ATS 3 523,0.0,0.0,Froza
550027806,"Трансмиссионное масло Shell SPIRAX S4 CX 30, (Оман), (209л)",Shell,Москва,В наличии,4,60000.0,60000.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—,—
550061543,"Моторное масло Shell Helix Ultra SP 0W-40 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,74,3402.0,3434.0,3402.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—,—
550061569,"Моторное масло Shell Helix HX7 SP 10W-40 (A3/B4), MB 229.3, (Оман), (1л)",Mercedes-Benz,Москва,В наличии,6,541.0,567.0,541.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—,—
83122405887,"Моторное масло BMW Advantec Ultimate SN 5W-40 JASO MA2, (Германия), (1л)",BMW,Москва,В наличии,300,1944.0,1957.0,1944.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—,—
90790BS455,"Моторное масло YAMALUBE 4Т SJ 10W-40, для 4-такт. лодочных моторов 4 Stroke, (Сингапур), (1л)",YAMALUBE,Москва,В наличии,938,860.0,981.0,860.0,—,—,—,—,—,—,—,—,—,1505.84,645.8399999999999,есть,—,—,—,Нет совпадений у конкурентов,—,—,—,Froza
GS55502M2GME,"Моторное масло Volkswagen (VAG) Special G 5W-40, VW 502 00 / 505 00, бенз/диз (Оман), (1л)",Volkswagen,Москва,В наличии,7,1452.0,1607.0,1452.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—,—
LUB10W40WV12,"Моторное масло YAMALUBE 4Т SJ 10W-40, для 4-такт. лодочных моторов 4 Stroke, (США), (0,946л)",YAMALUBE,Москва,В наличии,3,1711.0,1895.0,1711.0,—,—,—,—,—,—,—,—,—,2617.04,906.04,есть,—,—,—,Нет совпадений у конкурентов,—,—,—,Froza
