Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,STparts_цена,STparts_Δ,Autotrade_цена,Autotrade_Δ,Froza_цена,Froza_Δ,PhoenixOil_цена,PhoenixOil_Δ,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин,Отклонение_цены
08886-81875,"Трансмиссионное масло Toyota CVTF Fluid FE, для вариаторов, (Таиланд), (4л)",Toyota,Москва,В наличии,311,4568.0,5208.0,4568.0,4587.0,19.0,4620.0,52.0,5780.0,1212.0,4852.77,284.77000000000044,—,—,дешевле мин. на 19 руб. (0.4%),ATS 4 587,19.0,0.4,—
4024610,"Трансмиссионное масло Mitsubishi ATF SP-III, для АКПП и ГУР, (Япония), (4л)",Mitsubishi,Москва,В наличии,102,3423.0,3903.0,3423.0,3636.0,213.0,3652.0,229.0,4075.0,652.0,4323.8,900.8000000000002,—,—,дешевле мин. на 213 руб. (6.2%),ATS 3 636,213.0,6.2,—
A000989440411FDNE,"Трансмиссионное масло Mercedes-Benz ATF MB 236.15, A000989440411FDNE, (1л)",Mercedes-Benz,Москва,В наличии,562,1595.0,1819.0,1595.0,—,—,1611.5,16.5,—,—,—,—,—,—,дешевле мин. на 16 руб. (1.0%),STparts 1 611.50,16.5,1.0,—
A000989671011FBDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,344,1173.0,1338.0,1173.0,1176.0,3.0,1221.0,48.0,—,—,—,—,—,—,дешевле мин. на 3 руб. (0.3%),ATS 1 176,3.0,0.3,—
A000989681013FSEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5 (Германия), (5л)",Mercedes-Benz,Москва,В наличии,381,4451.0,5075.0,4451.0,4633.0,182.0,4725.6,274.60000000000036,—,—,—,—,—,—,дешевле мин. на 182 руб. (4.1%),ATS 4 633,182.0,4.1,—
A000989691011FSDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,337,1011.0,1153.0,1011.0,1176.0,165.0,1072.5,61.5,—,—,—,—,—,—,дешевле мин. на 62 руб. (6.1%),STparts 1 072.50,61.5,6.1,—
LIM10038-1EN,"Моторное масло Mazda ""GOLDEN"" SN 5W-30 / ILSAC GF-5, для бенз. двигателей, (Дубай), (1л)",Mazda,Москва,В наличии,150,775.0,884.0,775.0,886.0,111.0,914.1,139.10000000000002,—,—,—,—,—,—,дешевле мин. на 111 руб. (14.3%),ATS 886,111.0,14.3,—
MZ320265,"Трансмиссионное масло Mitsubishi Multi Gear Oil Eco 75W-80 / GL-4, для МКПП, (Таиланд), (1л)",Mitsubishi,Москва,В наличии,10,1514.0,1726.0,1514.0,1863.0,349.0,2278.1,764.0999999999999,2365.0,851.0,—,—,—,—,дешевле мин. на 349 руб. (23.1%),ATS 1 863,349.0,23.1,—
MZ321232,"Моторное масло Mitsubishi SP 5W-30 / ILSAC GF-6A, для бенз. двигателей, (Дубай), (4л)",Mitsubishi,Москва,В наличии,2373,3098.0,3532.0,3098.0,3202.0,104.0,3276.9,178.9000000000001,3155.0,57.0,3867.47,769.4699999999998,—,—,дешевле мин. на 57 руб. (1.8%),Autotrade 3 155,57.0,1.8,—
XT10QLVC,"Трансмиссионное масло Ford Motorcraft ATF Mercon LV, для АКПП / ГУР (красный), (США), (0,946л)",Ford,Москва,В наличии,215,751.0,831.0,751.0,789.0,38.0,821.03,70.02999999999997,—,—,970.43,219.42999999999995,—,—,дешевле мин. на 38 руб. (5.1%),ATS 789,38.0,5.1,—
1011136,"Моторное масло HYUNDAI XTeer G700 SP 5W-40 / ILSAC GF-6, синтетическое, бензин, (Корея), (1л)",Hyundai,Москва,В наличии,19,564.0,624.0,564.0,—,—,—,—,—,—,799.72,235.72000000000003,—,—,Нет совпадений у конкурентов,—,—,—,—
1011223,"Моторное масло HYUNDAI XTeer D800 C3 CF 5W-40, ACEA A3/B3/B4/C3, синтетическое, (Корея), (1л)",Hyundai,Москва,В наличии,3,793.0,878.0,793.0,—,—,—,—,—,—,98.89,-694.11,—,—,Нет совпадений у конкурентов,—,—,—,—
550027806,"Трансмиссионное масло Shell SPIRAX S4 CX 30, (Оман), (209л)",Shell,Москва,В наличии,4,60000.0,60000.0,—,—,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—,—
550061543,"Моторное масло Shell Helix Ultra SP 0W-40 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,74,3305.0,3336.0,3305.0,—,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—,—
550061569,"Моторное масло Shell Helix HX7 SP 10W-40 (A3/B4), MB 229.3, (Оман), (1л)",Mercedes-Benz,Москва,В наличии,6,541.0,567.0,541.0,—,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—,—
90790BS455,"Моторное масло YAMALUBE 4Т SJ 10W-40, для 4-такт. лодочных моторов 4 Stroke, (Сингапур), (1л)",YAMALUBE,Москва,В наличии,1203,835.0,952.0,835.0,—,—,—,—,—,—,1505.84,670.8399999999999,—,—,Нет совпадений у конкурентов,—,—,—,—
GS55502M2GME,"Моторное масло Volkswagen (VAG) Special G 5W-40, VW 502 00 / 505 00, бенз/диз (Оман), (1л)",Volkswagen,Москва,В наличии,7,1411.0,1562.0,1411.0,—,—,—,—,—,—,—,—,—,—,Нет совпадений у конкурентов,—,—,—,—
LUB10W40WV12,"Моторное масло YAMALUBE 4Т SJ 10W-40, для 4-такт. лодочных моторов 4 Stroke, (США), (0,946л)",YAMALUBE,Москва,В наличии,3,1663.0,1841.0,1663.0,—,—,—,—,—,—,2617.04,954.04,—,—,Нет совпадений у конкурентов,—,—,—,—
