Артикул,Номенклатура,Бренд,Склад_РТЛ,Статус_РТЛ,Кол-во_РТЛ,РТЛ_спец,РТЛ_премиум,РТЛ_цена_в_пути,ATS_цена,ATS_Δ,STparts_цена,STparts_Δ,Autotrade_цена,Autotrade_Δ,Froza_цена,Froza_Δ,PhoenixOil_цена,PhoenixOil_Δ,Вердикт,Мин_конкурент,Δ_мин_к_спец,Δ%_мин,Отклонение_цены
08269P99Z3FC1,"Трансмиссионное масло Honda CVTF TYPE-2 / HCF-2, для вариаторов, (Индонезия), (3,5л)",Honda,Москва,В наличии,32,6403.0,7300.0,6403.0,6852.0,449.0,—,—,5095.0,-1308.0,—,—,—,—,дороже мин. на 1308 руб. (20.4%),Autotrade 5 095,-1308.0,-20.4,—
08880-83717,"Моторное масло Lexus SN 5W-40 / ILSAC GF-5, для бенз. двигателей, (Дубай), (4л)",Lexus,Москва,В наличии,2593,2523.0,2877.0,2523.0,2515.0,-8.0,2582.8,59.80000000000018,—,—,3051.02,528.02,—,—,дороже мин. на 8 руб. (0.3%),ATS 2 515,-8.0,-0.3,—
08886-02805,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Япония), (4л.)",Toyota,Москва,В наличии,810,4897.0,5583.0,4897.0,4679.0,-218.0,4873.0,-24.0,5795.0,898.0,5666.19,769.1899999999996,—,—,дороже мин. на 218 руб. (4.5%),ATS 4 679,-218.0,-4.5,—
08886-81885,"Трансмиссионное масло Toyota ATF WS, для АКПП, (Таиланд), (4л)",Toyota,Москва,В наличии,725,4233.0,4826.0,4233.0,3966.0,-267.0,3695.0,-538.0,5325.0,1092.0,4705.19,472.1899999999996,—,—,дороже мин. на 538 руб. (12.7%),STparts 3 695,-538.0,-12.7,—
39071,"Трансмиссионное масло Febi DSG, для робот. КПП с двойным сцеплением, (Германия), (5л)",Febi,Москва,В наличии,1,6248.0,6248.0,—,5763.0,-485.0,5963.1,-284.89999999999964,—,—,84.17,-6163.83,—,—,дороже мин. на 485 руб. (7.8%),ATS 5 763,-485.0,-7.8,—
550061548,"Моторное масло Shell Helix Ultra X SP 0W-30 (A3/B4), MB 229.5/226.5, (Оман), (4л)",Mercedes-Benz,Москва,В наличии,14,3314.0,3344.0,3314.0,2973.0,-341.0,—,—,—,—,—,—,—,—,дороже мин. на 341 руб. (10.3%),ATS 2 973,-341.0,-10.3,—
83215A1C740,"Моторное масло BMW Twin Power Turbo SN 0W-30 Longlife-12 FE (C2), (Германия/Испания), (1л.)",BMW,Москва,В наличии,1,1934.0,2142.0,1934.0,—,—,1815.0,-119.0,—,—,—,—,—,—,дороже мин. на 119 руб. (6.2%),STparts 1 815,-119.0,-6.2,—
A000989320911ABDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, бензин/дизель, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,130,1646.0,1877.0,1646.0,1065.0,-581.0,1169.3,-476.70000000000005,—,—,—,—,—,—,дороже мин. на 581 руб. (35.3%),ATS 1 065,-581.0,-35.3,—
A000989440411FULW,"Трансмиссионное масло Mercedes-Benz ATF MB 236.15, (Бельгия), (1л.)",Mercedes-Benz,Москва,В наличии,204,1697.0,1935.0,1697.0,1436.0,-261.0,1495.41,-201.58999999999992,2035.0,338.0,—,—,—,—,дороже мин. на 261 руб. (15.4%),ATS 1 436,-261.0,-15.4,—
A000989671013FBDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.52, (Германия), (5л)",Mercedes-Benz,Москва,В наличии,1,5227.0,5959.0,5227.0,565600.0,560373.0,5185.62,-41.38000000000011,—,—,—,—,—,—,дороже мин. на 41 руб. (0.8%),STparts 5 185.62,-41.38,-0.8,ATS
A000989681011FSEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,1018,925.0,1055.0,925.0,957.0,32.0,853.39,-71.61000000000001,1165.0,240.0,—,—,—,—,дороже мин. на 72 руб. (7.7%),STparts 853.39,-71.61,-7.7,—
A000989681013FSEW,"Моторное масло Mercedes-Benz 5W-40 / MB 229.5 (Германия), (5л)",Mercedes-Benz,Москва,В наличии,1137,4822.0,5498.0,4822.0,4633.0,-189.0,4689.3,-132.69999999999982,—,—,—,—,—,—,дороже мин. на 189 руб. (3.9%),ATS 4 633,-189.0,-3.9,—
A000989691011FSDW,"Моторное масло Mercedes-Benz 5W-30 / MB 229.51, (Германия), (1л)",Mercedes-Benz,Москва,В наличии,936,1194.0,1362.0,1194.0,1176.0,-18.0,1078.0,-116.0,—,—,—,—,—,—,дороже мин. на 116 руб. (9.7%),STparts 1 078,-116.0,-9.7,—
